n_proc,N,iterations,global,computation,communication,win_init,init,IO

---- lock barrier -----
16,40000,10,10.557068,0.253274,0.159281,0.155832,0.109721,10.034706
8,40000,10,17.463476,0.305298,0.133030,0.163910,0.168795,16.856303
4,40000,10,22.527638,0.386733,0.056783,0.111795,0.213249,21.870866
2,40000,10,28.523278,0.712474,0.057469,0.079567,0.375003,27.378316
1,40000,10,33.062764,1.312537,0.000005,0.000000,0.702686,31.047536

16,40000,100,11.410329,0.777232,0.259213,0.146249,0.101483,10.272129
8,40000,100,17.713424,1.620081,0.611640,0.138033,0.154809,15.326895
4,40000,100,24.085559,2.080377,0.124815,0.101003,0.215100,21.665264
2,40000,100,27.965563,3.909246,0.040825,0.138873,0.403716,23.611776
1,40000,100,34.254813,7.708039,0.000046,0.000000,0.684525,25.862202

---- fence -----
16,40000,10,10.351752,0.158268,0.068200,0.133781,0.087186,10.038026
8,40000,10,16.509933,0.237067,0.047979,0.122529,0.142276,16.082586
4,40000,10,23.088262,0.375730,0.042706,0.115172,0.210538,22.459279
2,40000,10,29.028100,0.700165,0.040969,0.096352,0.390651,27.896287
1,40000,10,33.415708,1.294172,0.000004,0.000000,0.682425,31.439106

16,40000,100,12.053636,1.003013,0.565785,0.144771,0.086431,10.398313
8,40000,100,17.560390,1.181771,0.174039,0.113390,0.138300,16.066235
4,40000,100,24.040689,2.139058,0.179324,0.125477,0.226072,21.496212
2,40000,100,28.669412,4.581484,0.684010,0.108008,0.375141,23.028775
1,40000,100,34.203763,7.621427,0.000051,0.000000,0.707135,25.875150
