type,n_proc,n_thread,N,global,computation,communication,init
1,16,112,40000,11.354765,3.449481,8.001193,0.117299
1,4,112,40000,16.250211,7.035215,8.905055,0.203942
1,8,112,40000,16.802411,4.771252,11.999452,0.127507
1,2,112,40000,18.090729,11.373503,6.277371,0.387232
1,1,112,40000,28.444147,20.185831,7.278327,0.669329
1,1,112,70000,112.102153,103.378682,8.166347,0.287588
1,1,112,10000,0.751564,0.639248,0.000000,0.074672
1,8,112,40000,16.301620,4.765868,11.529585,0.140802
1,4,112,40000,16.527990,7.164494,9.045293,0.266442
1,2,112,40000,18.976112,11.572112,7.179572,0.356942
1,1,112,40000,22.073608,20.808401,0.000001,0.666833
1,16,112,40000,32.055125,3.537294,28.625903,0.116326
1,1,112,10000,0.984980,0.877625,0.000000,0.069735
1,1,112,1000,0.115980,0.091388,0.000001,0.024109
1,1,112,10000,0.732498,0.624067,0.000001,0.071274
1,1,112,80000,162.290894,160.431466,0.000001,0.947503
1,1,112,80000,150.898035,149.059812,0.000001,0.895631
1,16,112,80000,85.994793,20.859257,67.089217,0.220243
1,8,112,80000,82.118968,34.835316,53.556180,0.395367
1,4,112,80000,96.644509,46.601713,51.142553,0.736643
1,2,112,80000,103.543402,79.310172,24.338631,0.019757
1,16,112,80000,33.052733,21.390695,15.708617,0.253064
1,8,112,80000,52.639467,33.436516,24.169207,0.369730
1,4,112,80000,61.853112,45.309056,17.673775,0.716412
1,2,112,80000,94.049644,79.646252,14.374150,0.029240
1,1,112,80000,159.257110,158.347651,0.000001,0.909455
1,16,112,40000,5.211716,3.437948,1.926477,0.120412
1,8,112,40000,10.556378,5.693927,5.914850,0.145039
1,4,112,40000,11.233787,7.074166,4.136526,0.219246
1,2,112,40000,16.852400,11.985759,5.033606,0.390881
1,1,112,40000,21.214950,20.533025,0.000000,0.681921
1,1,112,56000,58.240668,58.213091,0.000000,0.027574
1,1,112,56568,55.159573,55.134701,0.000000,0.024867
1,1,112,1000,0.158033,0.110198,0.000000,0.047833
1,1,112,55600,52.483814,52.462275,0.000001,0.021535
1,1,112,40000,20.518551,19.832817,0.000001,0.685730
1,1,112,55600,57.139867,57.119680,0.000000,0.020183
1,1,112,1000,0.138218,0.108061,0.000000,0.030155
1,1,112,1000,0.124889,0.096347,0.000000,0.028540
1,1,112,1000,0.126987,0.095887,0.000000,0.031098
1,1,112,5000,0.477146,0.435810,0.000000,0.041332
1,1,112,55600,54.117217,54.077981,0.000000,0.039233
1,1,112,40000,26.432170,25.756446,0.000001,0.675721
1,1,112,80000,151.388004,150.478665,0.000001,0.909335
1,1,112,80000,593.580379,150.785993,0.000001,442.794383
1,1,112,1000,0.302595,0.103363,0.000000,0.199231
1,1,112,1000,0.340900,0.090897,0.000001,0.250001
1,1,112,5000,5.730623,0.436251,0.000000,5.294369
1,1,112,1000,0.322466,0.096799,0.000000,0.225665
1,1,112,40000,23.799062,23.078632,0.000000,0.720427
1,1,112,55600,58.530630,58.469832,0.000000,0.060796
1,4,112,10000,0.730843,0.417326,0.300717,0.059103
1,1,112,10000,0.706230,0.631557,0.000000,0.074671
1,2,112,10000,0.819364,0.475078,0.294271,0.083699
1,8,112,10000,0.691007,0.349163,0.372042,0.041352
1,16,112,10000,0.382062,0.216440,0.178633,0.041402
1,1,112,10000,0.880325,0.807792,0.000001,0.072528
1,8,112,10000,0.716920,0.365690,0.393484,0.036354
1,4,112,10000,0.746537,0.460927,0.300074,0.048298
1,2,112,10000,0.847026,0.515475,0.289895,0.057553
1,16,112,10000,0.423901,0.257130,0.222149,0.049121
